rank,name,url,steam_id,price_html,price_api,review_score,release_date,tags
1,Steam Deck,https://store.steampowered.com/app/1675200/Steam_Deck/?snr=1_7_7_7000_150_1,1675200,N/A,"419,--€",,17 janv. 2025,
2,ARC Raiders,https://store.steampowered.com/app/1808500/ARC_Raiders/?snr=1_7_7_7000_150_1,1808500,N/A,"39,99€",,30 oct. 2025,Action
3,Counter-Strike 2,https://store.steampowered.com/app/730/CounterStrike_2/?snr=1_7_7_7000_150_1,730,N/A,,,21 aout 2012,"Action,Free-to-play"
4,Total War: WARHAMMER III,https://store.steampowered.com/app/1142710/Total_War_WARHAMMER_III/?snr=1_7_7_7000_150_1,1142710,N/A,"14,99€",86,16 févr. 2022,"Action,Stratégie"
5,Where Winds Meet,https://store.steampowered.com/app/3564740/Where_Winds_Meet/?snr=1_7_7_7000_150_1,3564740,N/A,,,14 nov. 2025,"Action,Aventure,RPG,Free-to-play"
6,Clair Obscur: Expedition 33,https://store.steampowered.com/app/1903340/Clair_Obscur_Expedition_33/?snr=1_7_7_7000_150_1,1903340,N/A,"39,99€",91,24 avr. 2025,"Action,RPG"
7,IdleOn,https://store.steampowered.com/app/1476970/IdleOn/?snr=1_7_7_7000_150_1,1476970,N/A,,,6 nov. 2025,"Occasionnel,Indépendant,Massivement multijoueur,RPG,Simulation,Free-to-play"
8,Cyberpunk 2077,https://store.steampowered.com/app/1091500/Cyberpunk_2077/?snr=1_7_7_7000_150_1,1091500,N/A,"20,99€",86,9 déc. 2020,RPG
9,Euro Truck Simulator 2,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/?snr=1_7_7_7000_150_1,227300,N/A,"4,99€",79,12 oct. 2012,"Indépendant,Simulation"
10,Call of Duty®: Black Ops 7,https://store.steampowered.com/app/3606480/Call_of_Duty_Black_Ops_7/?snr=1_7_7_7000_150_1,3606480,N/A,"79,99€",,13 nov. 2025,Action
11,Star Wars Outlaws,https://store.steampowered.com/app/2842040/Star_Wars_Outlaws/?snr=1_7_7_7000_150_1,2842040,N/A,"20,99€",,21 nov. 2024,"Action,Aventure"
12,Yakuza 0 Director's Cut,https://store.steampowered.com/app/2988580/Yakuza_0_Directors_Cut/?snr=1_7_7_7000_150_1,2988580,N/A,"14,99€",,8 déc. 2025,"Action,Aventure,RPG"
